Name,Link,Artifact Number
"
",https://www.historymuseum.ca/collections/artifact/1335361/?q=Ottawa&page_num=1&item_num=116&media_irn=3020760,1335361
"
",https://www.historymuseum.ca/collections/artifact/1358620/?q=Ottawa&page_num=1&item_num=117&media_irn=3058915,1358620
"
",https://www.historymuseum.ca/collections/artifact/72955/?q=Ottawa&page_num=1&item_num=118&media_irn=368556,72955
"
",https://www.historymuseum.ca/collections/artifact/2968359/?q=Ottawa&page_num=1&item_num=119&media_irn=5649207,2968359
"
",https://www.historymuseum.ca/collections/artifact/2913900/?q=Ottawa&page_num=1&item_num=120&media_irn=5642117,2913900
"
",https://www.historymuseum.ca/collections/artifact/2913899/?q=Ottawa&page_num=1&item_num=121&media_irn=5642115,2913899
"
",https://www.historymuseum.ca/collections/artifact/2913898/?q=Ottawa&page_num=1&item_num=122&media_irn=5642113,2913898
"
",https://www.historymuseum.ca/collections/artifact/2466148/?q=Ottawa&page_num=1&item_num=123&media_irn=5489327,2466148
"
",https://www.historymuseum.ca/collections/artifact/2466147/?q=Ottawa&page_num=1&item_num=124&media_irn=5489325,2466147
"
",https://www.historymuseum.ca/collections/artifact/2466123/?q=Ottawa&page_num=1&item_num=125&media_irn=5489303,2466123
"
",https://www.historymuseum.ca/collections/artifact/2465836/?q=Ottawa&page_num=1&item_num=126&media_irn=5489295,2465836
"
",https://www.historymuseum.ca/collections/artifact/2465835/?q=Ottawa&page_num=1&item_num=127&media_irn=5489293,2465835
"
",https://www.historymuseum.ca/collections/artifact/2465834/?q=Ottawa&page_num=1&item_num=128&media_irn=5489291,2465834
"
",https://www.historymuseum.ca/collections/artifact/2465833/?q=Ottawa&page_num=1&item_num=129&media_irn=5489289,2465833
"
",https://www.historymuseum.ca/collections/artifact/2465832/?q=Ottawa&page_num=1&item_num=130&media_irn=5489287,2465832
"
",https://www.historymuseum.ca/collections/artifact/2465737/?q=Ottawa&page_num=1&item_num=131&media_irn=5489285,2465737
"
",https://www.historymuseum.ca/collections/artifact/2465688/?q=Ottawa&page_num=1&item_num=132&media_irn=5489279,2465688
"
",https://www.historymuseum.ca/collections/artifact/2465686/?q=Ottawa&page_num=1&item_num=133&media_irn=5489339,2465686
"
",https://www.historymuseum.ca/collections/artifact/2465536/?q=Ottawa&page_num=1&item_num=134&media_irn=5489331,2465536
"
",https://www.historymuseum.ca/collections/artifact/2465058/?q=Ottawa&page_num=1&item_num=135&media_irn=5489315,2465058
"
",https://www.historymuseum.ca/collections/artifact/2465037/?q=Ottawa&page_num=1&item_num=136&media_irn=5489299,2465037
"
",https://www.historymuseum.ca/collections/artifact/2365543/?q=Ottawa&page_num=1&item_num=137&media_irn=5425208,2365543
"
",https://www.historymuseum.ca/collections/artifact/2365493/?q=Ottawa&page_num=1&item_num=138&media_irn=5425206,2365493
"
",https://www.historymuseum.ca/collections/artifact/2365431/?q=Ottawa&page_num=1&item_num=139&media_irn=5482974,2365431
"
",https://www.historymuseum.ca/collections/artifact/2365430/?q=Ottawa&page_num=1&item_num=140&media_irn=5425203,2365430
"
",https://www.historymuseum.ca/collections/artifact/2365427/?q=Ottawa&page_num=1&item_num=141&media_irn=5425201,2365427
"
",https://www.historymuseum.ca/collections/artifact/2365401/?q=Ottawa&page_num=1&item_num=142&media_irn=5425199,2365401
"
",https://www.historymuseum.ca/collections/artifact/2365314/?q=Ottawa&page_num=1&item_num=143&media_irn=391088,2365314
"
",https://www.historymuseum.ca/collections/artifact/2365287/?q=Ottawa&page_num=1&item_num=144&media_irn=5425191,2365287
